,title,article,link,summary
0,Are free markets history?,"ll too low, governments end up micro-managing the energy transition by decree.\nThis mix of protection, spending and regulation comes at a heavy cost. For a start, it is a misdiagnosis. The pooling of risks is indeed an essential function of governments. But not all risks: for markets to work, actions must have consequences. \nIn contrast to the accepted view, covid and the Ukraine war have shown that markets deal with shocks better than planners do. Globalised trade coped with huge swings in consumer demand: throughput at America’s ports in 2021 was 11% higher than in 2019. In 2022 Germany’s economy repeated the trick, suffering no calamity as it switched rapidly from Russian gas to other sources of energy. By contrast, state-dominated markets like the supply of shells for Ukraine are still struggling. Just like the old complaints about trade with China—which has boosted Americans’ real incomes—gripes about globalisation’s supposed fragility have built a cathedral of fear over a grain of truth.\nAnother flaw in homeland economics is to overburden the state. Governments are losing all restraint just when they need to curtail welfare spending. Ageing populations weigh down budgets with extra bills for pensions and health care. Rising interest rates make everything worse. After a bond-market crisis in 2022, Britain’s right-wing government is raising taxes, as a share of GDP, by more than in any parliamentary term in the country’s history. As yields rise on long-dated bonds, indebted Italy looks wobbly again. America’s rising debt-service bill will probably match its all-time high before the end of the decade—testimony to the fiscal fragility of the new era.\nThe least visible, but potentially most costly flaw is that homeland economics is a blunt instrument in a time of rapid change. The energy and AI transitions are too big for any government to plan. Nobody knows the cheapest ways to decarbonise or the best uses of new technology. Ideas need to be tested and channelled by markets, not governed by checklists from the centre. Excessive regulation will inhibit innovation and, by raising costs, make change slower and more painful.\nDespite its flaws, homeland economics will be tough to restrain. People enjoy spending other people’s money. As government budgets get bigger, the special interests that feed on them will grow in size and influence. It is harder to withdraw protection and handouts than to grant them—particularly with more elderly voters, who have less of a stake in economic growth. Anyone doe-eyed about the arc of history bending towards progress should remember that a century ago Argentina was about as rich as Switzerland.\nPlan for the road ahead\nYet disillusionment will eventually set in. That may be because fiscal extravagance catches up with indebted governments. Perhaps the rent-seekers’ greed will become too hard to conceal. Or a stagnating, repressive China may no longer hold out the promise of state-directed prosperity.\nWhen change comes, it can be surprisingly swift—in democracies, at least. In the 1970s the tide turned in favour of free markets almost as fast as it has turned against them today, leading to the election of Margaret Thatcher and Ronald Reagan. The task for classical liberals is to prepare for that moment by defining a new consensus that adapts their ideas to a more dangerous, interconnected and fractious world. That will not be easy, especially in the face of the rivalry between America and China. But it has been done in the past. And think of the prize. ■\nFor subscribers only: to see how we design each week’s cover, sign up to our weekly Cover Story newsletter.",https://www.economist.com/leaders/2023/10/05/are-free-markets-history,
1,Why Africans are losing faith in democracy,"ussia are happy to step in. So, too, are unsqueamish middling powers such as Turkey and the United Arab Emirates. Western governments have sometimes acted shabbily, turning a blind eye to a coup in Chad and electoral theft in Congo. Their hypocrisy undermines the democratic values they espouse. \nAfrica is not the only part of the world where democratic disillusion is spreading. A whopping 62% of Americans and 56% of French told a Pew poll last year that they were not satisfied with democracy in their countries. Among young Americans, nearly a fifth think a dictatorship would be preferable. The big difference is that rich, mature democracies have solid institutions that make a coup virtually impossible. In much of Africa the army and its cronies are all too ready to seize control. \nOnce the men with guns are in charge, they are hard to dislodge. They postpone elections indefinitely and remove even the threadbare checks on executive power that once existed. They govern terribly, but if the joyful crowds that greet some coups change their minds about their new rulers, there is little they can do about it. Equatorial Guinea’s president seized power in 1979. He is still in office, and his luxury-loving son may succeed him. Autocracy lacks the built-in correction mechanism of true democracy: the promise that, if governments are no good, voters can sack them. And because many African countries have festering ethnic tensions and territorial disputes, coups and dictatorships often lead to war, as has happened in Sudan. \nReversing Africa’s turn away from democracy will not be easy. It is a task, first and foremost, for Africans themselves. The African Union, a regional body, should once again take seriously its old “no-coup” policy, and ostracise putschists. More important, African governments that claim to be democratic will have to govern better, by curbing corruption, fostering growth and resisting the temptation to hogtie the opposition. For example, the World Bank reckons that implementing the African Continental Free Trade Area could raise incomes by 9% by 2035 by removing obstacles to trade. Yet its members are dragging their feet. \nRich countries can help. They ought to press ahead with restructuring unsustainable debts and make good on a long-standing, unkept promise to spend $100bn a year to help poor countries with climate change. The World Bank and IMF could help crowd in investment, especially if their capital were topped up. The West would do well to welcome more African migrants to study and work; some will return home with useful skills and others will send back money to educate nieces or bankroll new businesses. \nTo help improve African security, America, which is more popular than former colonial powers such as Britain and France, could keep training and arming legitimate forces battling jihadists and other insurgents. The European Union must not cut funding for African-led peacekeeping missions, such as the one in Somalia that is now being wound down.  \nFrom cradle of humanity to centre of gravity\nThe main reason to wish for progress in Africa is to benefit Africans. But the rest of the world has a stake, too. Africa is the only continent where population growth is fast. By 2030 nearly one in three people entering working age will live there. Many of humanity’s big challenges, from climate change to pandemics, will be harder to tackle if Africa is dysfunctional. There is no guarantee a more democratic Africa will be prosperous and peaceful, but one ruled by autocrats and generals will surely not be. ■\nFor subscribers only: to see how we design each week’s cover, sign up to our weekly Cover Story newsletter.",https://www.economist.com/leaders/2023/10/05/why-africans-are-losing-faith-in-democracy,
2,"The ousting of Kevin McCarthy: bad for America, worse for Ukraine","ng funding to the floor and allow the cross-party majority in the House that supports Ukraine to vote. The convention that only legislation supported by a majority of the majority can come to the House floor is a pointless one that ought to be scrapped. Doing so would make it harder for a small group of nihilists to prevent anyone else from passing laws.\nA more likely outcome is that Congress will stick to the usual way of doing things. The House will eventually find more money for Ukraine—but not until the end of the year, when a gigantic spending bill arrives before the Christmas break. That needless delay will undermine American credibility. By encouraging Vladimir Putin to wait for the West’s support to peter out, it may cost Ukrainian lives, too. ■",https://www.economist.com/leaders/2023/10/04/the-ousting-of-kevin-mccarthy-bad-for-america-worse-for-ukraine,
3,Rising bond yields are exposing fiscal fantasy in Europe,"y choose to follow the rules set in Brussels and trim spending at home, because it risks irking voters. \nThat leaves Italy subject to discipline from investors and the ecb. The role of the central bank is far clearer than it was during the depths of the euro zone’s debt meltdown. Should spreads on government debt start to spiral out of control, the ecb has committed itself to buying that debt. In July last year the bank also said it would seek to aid the smooth transmission of monetary policy, by buying a country’s debt if spreads rise by more than it deems to be warranted by economic fundamentals. \nMeloni-drama \nYet none of this means that the ecb will backstop reckless fiscal policy. Its programmes come into force only if the country in question accepts budgetary discipline. The central bank’s focus is unwarranted rises in spreads, rather than the level of the interest rate itself—and it is that which is a problem for Italy. Moreover, having been an enthusiastic buyer of government bonds during the pandemic, the ecb will soon decide how to shrink its holdings, which may further reduce demand for Italian bonds. \nThe scene is set for more market jitters. Ms Meloni’s government could begin to curb spending before then. More likely, though, she will wait for nervous investors and rising borrowing costs to force her hand. A reckoning with reality is almost certain. The only question is how much drama is needed first. ■",https://www.economist.com/leaders/2023/10/04/rising-bond-yields-are-exposing-fiscal-fantasy-in-europe,
4,"In an ugly world, vaccines are a beautiful gift worth honouring","amage they did—the military use of explosives in 20th-century wars is reckoned to have claimed 100m-150m lives—is so great that the idea feels as if it should be true. Vaccination is one of the few benefits conferred on humankind that measures up to that task. It is as though the world were able to run one of the terrible wars of the 20th century in reverse, saving millions of lives a year, every year. Si expiationem requiris, circumspice. ■",https://www.economist.com/leaders/2023/10/05/in-an-ugly-world-vaccines-are-a-beautiful-gift-worth-honouring,
5,Rishi Sunak is wrong to amputate Britain’s high-speed rail line," the government to speed up infrastructure projects, that would be something. But believing in this would be as optimistic as the project’s initial budget projections. The government is not some innocent bystander in this mess. It has been slow to issue national policy statements, crucial documents that underpin planning-assessment processes. From wind farms to housing, it runs scared of NIMBYs. Mr Sunak had nothing to say about the obstacles to building in his speech.\nIndeed, this week’s amputation is likely to raise infrastructure costs yet further. The presumption that really big infrastructure projects will survive changes of government, or even party leaders, is no longer safe. After this decision, contractors will therefore charge a higher risk premium. The amount of time and money consumed in planning applications is likely to increase, too. One lesson NIMBYs will take from this fiasco is that delaying projects can eventually lead to their demise.      \nMr Sunak says he is making hard choices, but with an election looming and the Tories trailing, the reversal looks more like political expediency. Last month he pushed back deadlines to phase out new petrol cars; now he claims that people care more about potholes than about high-speed rail. That may be true in a narrow sense, but a fundamental job of central government is to build strategic infrastructure. Mr Sunak’s HS2 decision flies in the face of his vaunted long-termism. ■",https://www.economist.com/leaders/2023/10/04/rishi-sunak-is-wrong-to-amputate-britains-high-speed-rail-line,
6,Letters to the editor | Oct 7th 2023 Edition,"iveness. \nThose seeking power must spell out new ideas, even if at first they sound naive, otherwise newcomers like Mr Stewart will have no legitimacy to reform how any country is run. Change in Britain might include proportional representation, randomly selected citizens’ assemblies, doing something new with the House of Lords, a mix of all these and more. True insanity is to keep banging our heads against the wall of the same outdated voting system and to expect that it will produce a better result.\nHugh Pope\nBrussels\nLike that Japanese soldier who hid in the jungle until 1974 Britain’s parties are survivors of dead conflicts. The MPs they pick and control for our approval are tied to manifestos with minority support. Our simplified elections are cockfights between the two main parties, one of which expects to win. Unlike Europe’s other voters, ours despise coalitions and proportional representation as formulas for sissies. As a result we have alternating rule by one party that the majority of voters have usually rejected, which is on the hook to its remnant membership. \nRod Tipple\nCambridge\n\nCan AI spot fake science?\nYou ask whether artificial intelligence could transform science itself, highlighting the potential for AI algorithms to trawl through the global academic literature for patterns and insights (“I, robot scientist”, September 16th). It is a troubling reality that the reliability and trustworthiness of this literature is undermined by a significant proportion of content that is fraudulent, dishonest and fake, for reasons which are often related to the career advancement of the miscreants. \nSome of this material is weeded out by suspicious readers, reviewers and editors, but an unknown volume escapes censure to contaminate the academic gene pool. In my own wide-ranging field of medicine, information from fraudulent and misleading papers can have a significant adverse impact upon human health and well-being. \nHence there is a real danger that trawling AI for insights will naively integrate the good, the bad and the ugly with the erroneous and potentially damaging. The solutions to this problem are not yet clear, but awareness of the potential for harm  is an important first step. \nDavid Rew\nFaculty of medicine\nUniversity of Southampton\nYou focus on using AI in the fundamental sciences rather than on applied research.  Arguably, the latter is the area where humanity will need most of its breakthroughs to prevent climate and other catastrophes before it’s too late, given the time it takes from fundamental research to broad commercialisation.  AI’s prowess in “interpolation”, and ability to rapidly access existing knowledge is listed as a limitation, but should be seen as a strength and an enabler to researchers and engineers who need to combine insights across scientific and technological domains in order to solve intractable challenges.\nThe implications to industrial R&D is threefold. First, companies must ensure that AI is broadly accessible to, and deployed by, their researchers, rather than residing exclusively with a separate team of data scientists. Second, firms should invest in knowledge and data sharing across the entire company and even with external innovation partners. And finally, they should make the necessary changes to their working practices and incentive structures (more agile, more cross disciplinary; with incentives focused on deployment not invention) so that future AI-inspired R&D breakthroughs can be developed and commercialised more systematically.\nAI will not replace experimentation nor the experimenter, although fewer of both will probably be needed. The gravy train it promises for R&D is in making researchers into better problem-solvers. \nMichael Kolk \nBen Thuriaux-Alemán\nArthur D. Little \nAmsterdam and London\nTo describe the concerns of some people about AI and the “extinction of humanity” as fretting, whereas others are just focused on its potential, is a classic on the one hand, on the other hand formulation. I can’t see how you can reasonably balance extinction with anything else. In those stakes, we don’t fret enough.\nLori Fontanes\nRye, New York\nExtremists in power\nYou argued that the far right in Europe would become less dangerous if it entered government (“The real threat from Europe’s hard right”, September 16th). I am not so sure. That was precisely the argument used to obtain President Hindenburg’s approval for bringing the National Socialists into government in 1933. But why turn to ancient history? Just look at Hungary’s Fidesz party, which has become much more extreme since attaining a governing supermajority in 2010. Beyond Hungary, there is a great deal of evidence—Nuevas Ideas in El Salvador, Law and Justice in Poland, the True Finns in Finland—that extremist parties and leaders do not in fact become more moderate after achieving power. Your claim seems to involve the triumph of hope over experience.\nMatthew Draper\nCharlottesville, Virginia\n\nYou chose a photo of a shaven-headed man with an earring to illustrate your cover on the far right (September 16th). The reality is that the hard right today has support from men and women of all ages, races, religion, sexual orientation and classes, both with and without hair. Some of them even wear suits. \nJack Lard\nBalding but not extreme\nParis\nNow you listen here!\nI speak for all Monty Python fans when I posit that, although Elon Musk’s Messiah status remains unclear, with all his self-acknowledged faux pas he certainly is a very naughty boy (“Messiah, menace or both?”, September 16th).\nTom Appleton\nHaywards Heath, West Sussex",https://www.economist.com/letters/2023/10/05/letters-to-the-editor,
7,The war in Ukraine is threatening to wash across the Black Sea,"Black Sea just before the outbreak of hostilities have not been used, the threat to Ukraine’s southern shores has in some ways shaped the conflict. For one thing, the possibility of a coastal landing meant that Russia could menace Ukraine from three directions, and obliged Ukraine to spread its forces thinly in response.\nMuch the same logic has applied to the war in the skies. Excluding Iranian-made drones, around a fifth of all Russian missile strikes on Ukraine between January and March of this year originated at sea. Attacking from the sea, as well as from land and air, has allowed Russia to place a greater stress on Ukraine’s air defences, which have to watch for attacks from every direction bar the west.\nUkraine’s response has in some ways been a triumph. The sinking of the Moskva has obliged Russia to keep its ships away from the shore. And the steady bombardment of Sevastopol has turned a huge naval base into something of a liability. Several ships previously berthed there have been pulled back to Novorossiysk. “They are like mice running away,” scoffs a Ukrainian naval officer. Ukraine has achieved “the functional defeat of the Russian Black Sea Fleet”, crowed James Heappey, Britain’s junior defence minister, this week.\n\nBut for all its successes, Ukraine’s main goal, to ensure that cargo ships can come and go safely from Odessa and its other ports, remains elusive. After Russia withdrew from the UN’s grain initiative, Ukraine set up a new shipping route that hugs its coastline until the Romanian border to the west of Snake Island (see map). The intention is to keep civilian vessels as far from Russian guns as possible, and to get them as quickly as possible into the territorial waters of Romania, a member of NATO, where Russia would presumably hesitate to launch attacks. So far ten ships have come to Odessa this way, loaded grain and set sail again, without incident, despite Russia’s threats.\nA senior Ukrainian official tells The Economist that intelligence indicates Russia is planning an attack on civilian shipping, in an attempt to disrupt the new export route. Russian warships can fire missiles with a range of 2,500km, which would allow them to strike cargo vessels from a safe distance. By the same token, Russia can use submarines to lay mines even if its surface ships are forced to stay away, suggests Sidharth Kaushal of the Royal United Services Institute (RUSI), a think-tank in London (although Ukrainians argue that the shallow waters along the new export route would make that difficult). Even if Ukraine were somehow to sink the entire Russian fleet, missiles fired from Crimea could easily destroy a lumbering cargo ship off Odessa.\nAnother Ukrainian official notes that Russian strikes on Ukrainian ports are already raising insurance premiums across the Black Sea: “Insurers see where things are headed. They are not daft.” But, adds the first, “Two can play at this game.” Ukraine has warned that, if Russia attacks civilian vessels, it will retaliate in kind. It has been demonstrating its capacity to hit distant naval targets not to escalate the war in the Black Sea, he says, but to deter Russia from doing so.\n\nThe stakes for both countries are high. Before the war, roughly 60% of Ukraine’s exports passed through its ports on the Black Sea. The volume of trade has since contracted dramatically, both because of the Russian blockade and because of the broader disruptions caused by the war to farms, factories and infrastructure. Even when the grain initiative was operating, Ukraine’s exports were a fraction of what they once were (see chart).\nSome of the missing volumes have been diverted to barges on the Danube river. Ukrainian officials say they are managing to export over 3m tonnes of grain a month in that way at the moment. Another 1m tonnes is being exported by train and a smaller amount by lorry. But these alternatives are all much slower and more expensive than piling giant freighters with cargo. The cost of exporting a tonne of grain by river barge, for example, is roughly $120, versus $30-40 for exports by sea. Russia is bombing the new routes as well. What is more, Ukraine simply does not have adequate road, rail and barge capacity to substitute for deep-sea ports. The result is a further blow to an economy already gutted by the war, and further loss of tax revenue and foreign exchange for a government that is borrowing unsustainably.\nBut Russia has a lot to lose as well. More than 80% of its grain exports and about 30% of its oil exports pass through ports on the Black Sea. These shipments have barely been affected by the war so far. Russia’s military force in Syria is also dependent on fuel and supplies shipped via the Black Sea. This “Syrian express” probably ranks high on Ukraine’s list of potential targets should the war at sea expand in scope.\nCrimea and punishment\nTo inflict serious injury on the Russian economy, Ukraine does not need to sink all Russia-bound ships, but simply to damage enough of them that insurance premiums shoot up and Russian ports become commercially unattractive. “We don’t have the drones to stop all Russian trade. But if you are asking if we can dramatically increase the financial stakes? Sure, no problem,” says a Ukrainian official.\nThat would be bad not only for Russia, but also for global food markets. In the early stages of the war, they were gripped by panic. After all, when fighting broke out, Russia and Ukraine together accounted for an eighth of the calories traded worldwide. In 2021 they were the world’s first and fifth biggest exporters of wheat, shipping 39m tonnes and 17m tonnes respectively—28% of the world’s traded supply. Both also grow a lot of grain used to feed animals, such as maize and barley, and are the top two producers of sunflower seeds, giving them an 11.5% share of the vegetable-oil market. \nWithin days, the invasion sent wheat prices to more than $12 a bushel, up from $7 two months before; the cost of maize shot to its highest in a decade. This was largely because of the Russian blockade of Ukraine’s ports on the Black Sea. Traders also feared that the war and Western sanctions might impede Russian exports. Many, including The Economist, warned that global food shortages were looming. \nAgricultural markets are much calmer now, despite the growing risk of escalation in the Black Sea. Wheat currently costs little more than $5 a bushel, less than it did before the war began. In fact, prices fell back to pre-war levels during the summer of 2022 and have stayed there since.\nThat was less because of the UN’s deal to revive Ukraine’s grain exports than because of bumper crops elsewhere. Russia, whose farming industry is exempt from Western sanctions, harvested an unprecedented 100m tonnes of wheat in 2022. Other countries, from Brazil to India, also enjoyed bumper crops.\nThis year looks much the same. Ukraine is growing less wheat than before the war and its exports are down sharply because of the scrapping of the grain deal. But Russia has again produced a bountiful harvest, as have many other exporters. Whereas last year crops were threatened by La Niña, a climatic phenomenon that often saps yields in big cereal-growing regions in the northern hemisphere, this year, notes Carlos Mera of Rabobank, a Dutch lender, the reverse pattern, El Niño, promises more benign conditions.\nAttacks on commercial shipping in the Black Sea would doubtless send prices leaping again. Insurers would raise their rates or refuse to underwrite cargoes at all. Grain would not be the only casualty: some 2m barrels of oil and a further 1m barrels of refined petroleum products are exported through the Black Sea every day.\nBut the effects might again be short-lived. The Russian government is already insuring lots of the oil tankers that visit its ports, to help shipping firms evade Western sanctions. It could do the same for other exports as well. Despite rising tensions and Western pressure, lots of shipping firms are willing to transport Russian goods, says Matthew Wright of Kpler, a ship-tracking firm. What is more, Russia has a very dense network of oil pipelines. It could probably divert a good part of the oil that is normally shipped across the Black Sea to terminals in the Baltic. (The refined products would be harder to move around in this way.) \nWar and peas\nTransporting grain by road from Russia’s farming heartlands in the west to distant terminals in St Petersburg, the Baltics or the Pacific would be slow and prohibitively expensive. (Ukraine already struggles to truck much smaller volumes over shorter distances.) But Russia has several grain terminals on the Black Sea and the adjoining Sea of Azov, so it could use an ever-shifting assortment of ports and shipping routes to keep cargoes out of harm’s way. Given that Russia has struggled to choke off Ukraine’s grain exports despite its vastly superior navy and air force, it is hard to imagine Ukraine snuffing out Russian trade. \nFor all these reasons, Viktor Kurilov of Rystad Energy, a consultancy, reckons attacks on commercial shipping might cause crude-oil prices to rise by only $5-7 a barrel before settling $1-2 above where they would otherwise have been. Wheat markets might be jolted more severely, at least for a time. That would not be painless: the brief spikes in food prices last year, the UN calculates, helped lift the number of people around the world facing severe hunger by 65m. But a lasting cataclysm is unlikely. \n Not so Bosporous any more\n\nA critical variable in all this is the stance of Turkey, in effect the gatekeeper to the Black Sea. Under a treaty called the Montreux Convention, Turkey is obliged to let commercial shipping pass unhindered through the Bosporus and Dardanelles, the narrow straits connecting the Black Sea to the Mediterranean. But the treaty places restrictions on the number and size of transiting warships. When war breaks out on the Black Sea, it gives Turkey the power to prevent belligerents from sending in reinforcements and to close the straits entirely to warships from non-littoral countries. So when Russia invaded Ukraine it barred Russia from reinforcing its Black Sea fleet, but also stopped NATO countries from sending in ships, despite being a member of the alliance itself. \nWith the collapse of the grain deal, Turkey is under pressure to help prevent Russia from strangling Ukrainian trade. Bulgaria and Romania, two NATO members with coastline on the Black Sea but relatively weak navies, would welcome a show of force from the alliance. Some Ukrainians are calling for Western naval convoys to protect commercial shipping.\nBut Turkey is loth to allow anything that increases the risk of a broader conflagration and that antagonises Russia. By sitting on the fence, Turkey’s president, Recep Tayyip Erdogan, has won valuable concessions from his Russian counterpart, Vladimir Putin. Russia let Turkey delay some payments for Russian gas, worth perhaps billions of dollars, a sop that helped Mr Erdogan conceal the scale of his economic mismanagement before elections earlier this year. Turkey’s refusal to join other NATO members in imposing harsh sanctions on Russia has also been lucrative: trade between the two countries nearly doubled last year, to $62bn.\nSome analysts suspect that Mr Putin also promised Mr Erdogan that Russian troops sent to enforce a ceasefire would instead stand aside as Azerbaijan, Turkey’s main regional ally, seized control of a disputed province from ethnic-Armenian rebels in late September. “Turkey is using Russian weakness to extract concessions,” says Yoruk Isik, who runs Bosphorus Observer, a consultancy. “As long as it continues to get them and as long as trade with Russia continues,” he adds, “Turkey will do its best not to confront Russia.”\nRussia is equally reluctant to rock the boat, as it were. If Russia were to attack commercial shipping, the pressure on Mr Erdogan to allow NATO ships into the Black Sea would increase dramatically. One thought holding Mr Putin back may be the risk of pushing Mr Erdogan into a less accommodating position.\nIt is just another way in which neither side is likely to prevail completely in the war at sea. Ukrainian drones will continue to embarrass Russia, but the Russian navy will remain a menace to Ukrainian cities and shipping. Russia can probably push insurance rates sky-high, reckons Mr Kaushal of RUSI, “irrespective of how uncomfortable the Ukrainians can make Sevastopol”. And although naval battles will never be the main focus of the fighting, fears of an alarming flare-up will always linger. ■",https://www.economist.com/briefing/2023/10/05/the-war-in-ukraine-is-threatening-to-wash-across-the-black-sea,
8,Kevin McCarthy’s sacking deepens the chaos in American government,"a long-term funding solution simply because a fresh face is running the House. Government will have to be funded “in a way that is even more anathema to these Republicans than the CR,” Mr Donovan says. Mr McCarthy’s replacement could soon be overseeing a shutdown. Averting a closure could potentially cost the new speaker his job.\nAid for Ukraine, which was not included in the government-funding deal in order to placate hardliners, is the greatest concern for those beyond America’s borders. At the press conference announcing his departure, Mr McCarthy compared Vladimir Putin to Adolf Hitler and said the current world reminded him of the 1930s. He reiterated his support for Ukraine and rightly criticised President Joe Biden for his past hesitance on arming the country.\nBut some House Republicans have begun to oppose further funding. Mr McCarthy suggested a quid pro quo, in which aid for the government in Kyiv could be approved if Democrats help pass policies to shore up America’s porous border. Supporters of Ukraine in Congress, who constitute a clear majority in both chambers, are pushing for a vote that would guarantee funding for the war-torn country up until the 2024 American presidential election. Threading this legislative needle could be even more difficult than avoiding a government shutdown.\nTo whom that task will fall is not obvious. Patrick McHenry, a North Carolina Republican hand-picked by Mr McCarthy, will serve as acting speaker and will merely oversee the election of Mr McCarthy’s replacement. Republicans are planning for a candidate forum on October 10th and a vote the following day. But the real question is who among the Republicans has the mental fitness to do the job—and is mad enough to seek it. \nNo one expects a consensus figure to emerge as quickly as, for example, Paul Ryan did when he replaced John Boehner as speaker in 2015. Steve Scalise, the second-ranked Republican in the House, has thrown his hat in the ring. So has Jim Jordan, chairman of the Judiciary Committee, who has credibility with the right as a former Freedom Caucus head who managed to work productively with McCarthy allies. Kevin Hern seems to want the job, too: he leads the Republican Study Committee, which counts a majority of the House party as members. Yet uncertainty could pave the way for a dark horse. (Marjorie Taylor Greene, a prominent member of the Republican berserker caucus, tweeted that the only candidate she was supporting for speaker was Donald Trump.)\nThe chaos and intrigue will be as entertaining as any episode of “The West Wing”, a Washington-focused television drama. That will provide little comfort for Americans who want their government to stay open—or for Ukrainians who rely on American power and largesse to sustain their fight for survival. ■\nStay on top of American politics with Checks and Balance, our weekly subscriber-only newsletter, which examines the state of American democracy and the issues that matter to voters.",https://www.economist.com/united-states/2023/10/04/the-sacking-of-kevin-mccarthy-will-make-supporting-ukraine-harder,
9,Travelling to and from America has become a waiting game,"ecruitment and retention. CBP has also asked Congress for more funding for staffing. The State Department has been hiring, too.\nThe agencies will need to act quickly. Pre-covid, nearly 3m Chinese people visited America a year. Post-pandemic demand for international travel from China is bound to climb. Waiting times at airports may be bad, but they could get worse. ■\nStay on top of American politics with Checks and Balance, our weekly subscriber-only newsletter, which examines the state of American democracy and the issues that matter to voters.",https://www.economist.com/united-states/2023/10/05/travelling-to-and-from-america-has-become-a-waiting-game,
